district,state,population,deprivation_index,road_coverage,water_coverage,electricity_coverage,mpi_score,lat,lng
Ariyalur,Tamil Nadu,754154,0.42,72.5,68.0,96.0,0.18,11.1401,79.0786
Chengalpattu,Tamil Nadu,2556244,0.22,88.0,85.0,99.0,0.08,12.6819,79.9888
Chennai,Tamil Nadu,4646732,0.12,94.0,91.0,99.5,0.04,13.0827,80.2707
Coimbatore,Tamil Nadu,3458045,0.18,91.5,89.0,99.2,0.06,11.0168,76.9558
Cuddalore,Tamil Nadu,2605914,0.38,76.0,72.0,97.0,0.15,11.748,79.7714
Dharmapuri,Tamil Nadu,1506843,0.52,65.0,60.0,94.0,0.24,12.1211,78.1582
Dindigul,Tamil Nadu,2159775,0.36,78.0,74.0,97.5,0.14,10.3673,77.9803
Erode,Tamil Nadu,2251744,0.24,87.0,84.0,98.8,0.09,11.341,77.7172
Kallakurichi,Tamil Nadu,1370252,0.48,68.0,63.0,95.0,0.21,11.7384,78.9639
Kanchipuram,Tamil Nadu,1166401,0.2,89.0,86.0,99.0,0.07,12.8342,79.7036
Kanyakumari,Tamil Nadu,1870374,0.15,92.0,90.0,99.4,0.05,8.0883,77.5385
Karur,Tamil Nadu,1064493,0.32,82.0,78.0,98.0,0.12,10.9601,78.0766
Krishnagiri,Tamil Nadu,1879809,0.44,71.0,66.0,95.5,0.19,12.5186,78.2137
Madurai,Tamil Nadu,3038252,0.26,86.0,82.0,98.5,0.1,9.9252,78.1198
Mayiladuthurai,Tamil Nadu,918356,0.39,75.0,70.0,96.5,0.16,11.1018,79.6522
Nagapattinam,Tamil Nadu,697061,0.41,73.0,69.0,96.0,0.17,10.7672,79.8449
Namakkal,Tamil Nadu,1726601,0.28,84.0,80.0,98.2,0.11,11.2189,78.1674
Nilgiris,Tamil Nadu,735394,0.25,85.0,83.0,98.0,0.1,11.4916,76.7337
Perambalur,Tamil Nadu,565223,0.45,70.0,65.0,95.0,0.2,11.2342,78.882
Pudukkottai,Tamil Nadu,1618345,0.43,72.0,67.0,96.0,0.18,10.3797,78.8202
Ramanathapuram,Tamil Nadu,1353445,0.46,69.0,62.0,95.5,0.2,9.3639,78.8395
Ranipet,Tamil Nadu,1210277,0.31,83.0,79.0,98.0,0.12,12.9286,79.3331
Salem,Tamil Nadu,3482056,0.29,85.0,81.0,98.4,0.11,11.6643,78.146
Sivaganga,Tamil Nadu,1339101,0.37,77.0,73.0,97.0,0.15,9.8433,78.4809
Tenkasi,Tamil Nadu,1407627,0.33,81.0,77.0,97.8,0.13,8.9593,77.313
Thanjavur,Tamil Nadu,2405890,0.34,80.0,76.0,97.5,0.13,10.787,79.1378
Theni,Tamil Nadu,1245899,0.3,83.0,80.0,98.0,0.12,10.0104,77.4768
Thoothukudi,Tamil Nadu,1750176,0.27,86.0,83.0,98.6,0.1,8.7642,78.1348
Tiruchirappalli,Tamil Nadu,2722290,0.23,88.0,85.0,99.0,0.08,10.7905,78.7047
Tirunelveli,Tamil Nadu,1665253,0.28,85.0,81.0,98.5,0.11,8.7139,77.7567
Tirupathur,Tamil Nadu,1111812,0.4,74.0,70.0,96.5,0.16,12.4927,78.5684
Tiruppur,Tamil Nadu,2479052,0.21,90.0,87.0,99.1,0.07,11.1085,77.3411
Tiruvallur,Tamil Nadu,3728104,0.24,87.0,84.0,98.8,0.09,13.1433,79.9079
Tiruvannamalai,Tamil Nadu,2464875,0.47,69.0,64.0,95.0,0.2,12.2253,79.0747
Tiruvarur,Tamil Nadu,1264277,0.38,76.0,71.0,97.0,0.15,10.7725,79.6365
Vellore,Tamil Nadu,1614242,0.32,82.0,78.0,98.0,0.12,12.9165,79.1325
Viluppuram,Tamil Nadu,2092703,0.49,67.0,62.0,94.5,0.22,11.9401,79.4861
Virudhunagar,Tamil Nadu,1942288,0.3,84.0,80.0,98.2,0.11,9.568,77.9624
Alluri Sitharama Raju,Andhra Pradesh,953960,0.65,52.0,48.0,88.0,0.32,18.0673,82.5298
Anakapalli,Andhra Pradesh,1726998,0.38,76.0,72.0,97.0,0.16,17.6896,83.0024
Ananthapuramu,Andhra Pradesh,2241105,0.45,70.0,62.0,95.0,0.2,14.6819,77.6006
Annamayya,Andhra Pradesh,1697308,0.44,71.0,65.0,95.5,0.19,14.0722,78.7523
Bapatla,Andhra Pradesh,1586918,0.36,78.0,74.0,97.2,0.14,15.9042,80.4676
Chittoor,Andhra Pradesh,1872951,0.35,79.0,75.0,97.5,0.14,13.2172,79.1003
Dr. B.R. Ambedkar Konaseema,Andhra Pradesh,1719093,0.33,81.0,78.0,98.0,0.13,16.5744,82.0006
East Godavari,Andhra Pradesh,1832332,0.31,83.0,80.0,98.2,0.12,17.0005,81.804
Eluru,Andhra Pradesh,2071700,0.37,77.0,73.0,97.0,0.15,16.7107,81.1035
Guntur,Andhra Pradesh,2091075,0.28,85.0,82.0,98.5,0.11,16.3067,80.4365
Kakinada,Andhra Pradesh,2092374,0.3,84.0,81.0,98.4,0.11,16.9891,82.2475
Kurnool,Andhra Pradesh,2271686,0.46,69.0,63.0,94.8,0.2,15.8281,78.0373
Nandyal,Andhra Pradesh,1781777,0.42,73.0,68.0,96.0,0.18,15.4781,78.4836
NTR,Andhra Pradesh,2218591,0.22,89.0,87.0,99.0,0.08,16.5062,80.648
Palnadu,Andhra Pradesh,2041723,0.4,74.0,70.0,96.2,0.16,16.2405,79.9866
Parvathipuram Manyam,Andhra Pradesh,925340,0.58,58.0,54.0,91.0,0.28,18.7758,83.4285
Prakasam,Andhra Pradesh,2288026,0.43,72.0,66.0,95.8,0.18,15.5057,80.0499
Sri Potti Sriramulu Nellore,Andhra Pradesh,2469712,0.34,80.0,76.0,97.6,0.13,14.4426,79.9865
Sri Sathya Sai,Andhra Pradesh,1840043,0.47,68.0,61.0,94.2,0.21,14.1643,77.8105
Srikakulam,Andhra Pradesh,2191471,0.48,67.0,63.0,94.0,0.22,18.2969,83.8968
Tirupati,Andhra Pradesh,2196984,0.29,85.0,83.0,98.6,0.11,13.6288,79.4192
Visakhapatnam,Andhra Pradesh,1959544,0.2,90.0,88.0,99.2,0.07,17.6868,83.2185
Vizianagaram,Andhra Pradesh,1930840,0.46,69.0,64.0,94.5,0.21,18.1066,83.3956
West Godavari,Andhra Pradesh,1779935,0.32,82.0,79.0,98.0,0.12,16.7107,81.1035
YSR Kadapa,Andhra Pradesh,2060654,0.39,75.0,71.0,96.5,0.16,14.4673,78.8242
Adilabad,Telangana,708972,0.54,62.0,58.0,92.0,0.26,19.6641,78.532
Bhadradri Kothagudem,Telangana,1069261,0.5,65.0,61.0,93.5,0.23,17.5524,80.6174
Hanamkonda,Telangana,1083946,0.27,86.0,83.0,98.5,0.1,18.0,79.58
Hyderabad,Telangana,3943323,0.14,93.0,90.0,99.5,0.05,17.385,78.4867
Jagtial,Telangana,985417,0.38,76.0,72.0,97.0,0.15,18.7942,78.9124
Jangaon,Telangana,566376,0.42,73.0,68.0,96.0,0.18,17.7226,79.1517
Jayashankar Bhupalpally,Telangana,412282,0.55,60.0,56.0,91.5,0.27,18.4312,79.8631
Jogulamba Gadwal,Telangana,609990,0.48,68.0,63.0,94.5,0.22,16.2342,77.8016
Kamareddy,Telangana,972625,0.43,72.0,67.0,96.0,0.18,18.3168,78.3414
Karimnagar,Telangana,1005711,0.29,84.0,81.0,98.2,0.11,18.4386,79.1288
Khammam,Telangana,1401639,0.35,79.0,75.0,97.4,0.14,17.2473,80.1514
Kumuram Bheem Asifabad,Telangana,515812,0.59,56.0,52.0,90.0,0.29,19.3621,79.2842
Mahabubabad,Telangana,774549,0.47,69.0,64.0,95.0,0.21,17.5986,80.0039
Mahabubnagar,Telangana,1486777,0.44,71.0,66.0,95.8,0.19,16.7488,77.9856
Mancherial,Telangana,807037,0.41,74.0,70.0,96.4,0.17,18.8682,79.4623
Medak,Telangana,767428,0.42,73.0,69.0,96.0,0.18,18.0453,78.2616
Medchal-Malkajgiri,Telangana,2440073,0.18,91.0,88.0,99.2,0.06,17.5452,78.567
Mulugu,Telangana,294971,0.61,54.0,50.0,89.0,0.3,18.1923,79.9416
Nagarkurnool,Telangana,861766,0.49,67.0,62.0,94.0,0.22,16.4854,78.3347
Nalgonda,Telangana,1618416,0.37,77.0,73.0,97.0,0.15,17.0577,79.2684
