district,state,is_aspirational,delta_rank,priority_sector,source_publisher
Ariyalur,Tamil Nadu,0,0,Rural Roads & Connectivity,NITI Aayog Aspirational Districts Program
Chengalpattu,Tamil Nadu,0,0,Rural Roads & Connectivity,NITI Aayog Aspirational Districts Program
Chennai,Tamil Nadu,0,0,Rural Roads & Connectivity,NITI Aayog Aspirational Districts Program
Coimbatore,Tamil Nadu,0,0,Rural Roads & Connectivity,NITI Aayog Aspirational Districts Program
Cuddalore,Tamil Nadu,0,0,Rural Roads & Connectivity,NITI Aayog Aspirational Districts Program
Dharmapuri,Tamil Nadu,1,1,Water & Sanitation,NITI Aayog Aspirational Districts Program
Dindigul,Tamil Nadu,0,0,Rural Roads & Connectivity,NITI Aayog Aspirational Districts Program
Erode,Tamil Nadu,0,0,Rural Roads & Connectivity,NITI Aayog Aspirational Districts Program
Kallakurichi,Tamil Nadu,1,2,Water & Sanitation,NITI Aayog Aspirational Districts Program
Kanchipuram,Tamil Nadu,0,0,Rural Roads & Connectivity,NITI Aayog Aspirational Districts Program
Kanyakumari,Tamil Nadu,0,0,Rural Roads & Connectivity,NITI Aayog Aspirational Districts Program
Karur,Tamil Nadu,0,0,Rural Roads & Connectivity,NITI Aayog Aspirational Districts Program
Krishnagiri,Tamil Nadu,0,0,Rural Roads & Connectivity,NITI Aayog Aspirational Districts Program
Madurai,Tamil Nadu,0,0,Rural Roads & Connectivity,NITI Aayog Aspirational Districts Program
Mayiladuthurai,Tamil Nadu,0,0,Rural Roads & Connectivity,NITI Aayog Aspirational Districts Program
Nagapattinam,Tamil Nadu,0,0,Rural Roads & Connectivity,NITI Aayog Aspirational Districts Program
Namakkal,Tamil Nadu,0,0,Rural Roads & Connectivity,NITI Aayog Aspirational Districts Program
Nilgiris,Tamil Nadu,0,0,Rural Roads & Connectivity,NITI Aayog Aspirational Districts Program
Perambalur,Tamil Nadu,1,3,Rural Roads & Connectivity,NITI Aayog Aspirational Districts Program
Pudukkottai,Tamil Nadu,0,0,Rural Roads & Connectivity,NITI Aayog Aspirational Districts Program
Ramanathapuram,Tamil Nadu,1,4,Water & Sanitation,NITI Aayog Aspirational Districts Program
Ranipet,Tamil Nadu,0,0,Rural Roads & Connectivity,NITI Aayog Aspirational Districts Program
Salem,Tamil Nadu,0,0,Rural Roads & Connectivity,NITI Aayog Aspirational Districts Program
Sivaganga,Tamil Nadu,0,0,Rural Roads & Connectivity,NITI Aayog Aspirational Districts Program
Tenkasi,Tamil Nadu,0,0,Rural Roads & Connectivity,NITI Aayog Aspirational Districts Program
Thanjavur,Tamil Nadu,0,0,Rural Roads & Connectivity,NITI Aayog Aspirational Districts Program
Theni,Tamil Nadu,0,0,Rural Roads & Connectivity,NITI Aayog Aspirational Districts Program
Thoothukudi,Tamil Nadu,0,0,Rural Roads & Connectivity,NITI Aayog Aspirational Districts Program
Tiruchirappalli,Tamil Nadu,0,0,Rural Roads & Connectivity,NITI Aayog Aspirational Districts Program
Tirunelveli,Tamil Nadu,0,0,Rural Roads & Connectivity,NITI Aayog Aspirational Districts Program
Tirupathur,Tamil Nadu,0,0,Rural Roads & Connectivity,NITI Aayog Aspirational Districts Program
Tiruppur,Tamil Nadu,0,0,Rural Roads & Connectivity,NITI Aayog Aspirational Districts Program
Tiruvallur,Tamil Nadu,0,0,Rural Roads & Connectivity,NITI Aayog Aspirational Districts Program
Tiruvannamalai,Tamil Nadu,1,5,Water & Sanitation,NITI Aayog Aspirational Districts Program
Tiruvarur,Tamil Nadu,0,0,Rural Roads & Connectivity,NITI Aayog Aspirational Districts Program
Vellore,Tamil Nadu,0,0,Rural Roads & Connectivity,NITI Aayog Aspirational Districts Program
Viluppuram,Tamil Nadu,1,6,Water & Sanitation,NITI Aayog Aspirational Districts Program
Virudhunagar,Tamil Nadu,1,7,Rural Roads & Connectivity,NITI Aayog Aspirational Districts Program
Alluri Sitharama Raju,Andhra Pradesh,1,8,Water & Sanitation,NITI Aayog Aspirational Districts Program
Anakapalli,Andhra Pradesh,0,0,Rural Roads & Connectivity,NITI Aayog Aspirational Districts Program
Ananthapuramu,Andhra Pradesh,1,9,Water & Sanitation,NITI Aayog Aspirational Districts Program
Annamayya,Andhra Pradesh,0,0,Rural Roads & Connectivity,NITI Aayog Aspirational Districts Program
Bapatla,Andhra Pradesh,0,0,Rural Roads & Connectivity,NITI Aayog Aspirational Districts Program
Chittoor,Andhra Pradesh,0,0,Rural Roads & Connectivity,NITI Aayog Aspirational Districts Program
Dr. B.R. Ambedkar Konaseema,Andhra Pradesh,0,0,Rural Roads & Connectivity,NITI Aayog Aspirational Districts Program
East Godavari,Andhra Pradesh,0,0,Rural Roads & Connectivity,NITI Aayog Aspirational Districts Program
Eluru,Andhra Pradesh,0,0,Rural Roads & Connectivity,NITI Aayog Aspirational Districts Program
Guntur,Andhra Pradesh,0,0,Rural Roads & Connectivity,NITI Aayog Aspirational Districts Program
Kakinada,Andhra Pradesh,0,0,Rural Roads & Connectivity,NITI Aayog Aspirational Districts Program
Kurnool,Andhra Pradesh,1,10,Water & Sanitation,NITI Aayog Aspirational Districts Program
Nandyal,Andhra Pradesh,0,0,Rural Roads & Connectivity,NITI Aayog Aspirational Districts Program
NTR,Andhra Pradesh,0,0,Rural Roads & Connectivity,NITI Aayog Aspirational Districts Program
Palnadu,Andhra Pradesh,0,0,Rural Roads & Connectivity,NITI Aayog Aspirational Districts Program
Parvathipuram Manyam,Andhra Pradesh,1,11,Water & Sanitation,NITI Aayog Aspirational Districts Program
Prakasam,Andhra Pradesh,0,0,Rural Roads & Connectivity,NITI Aayog Aspirational Districts Program
Sri Potti Sriramulu Nellore,Andhra Pradesh,0,0,Rural Roads & Connectivity,NITI Aayog Aspirational Districts Program
Sri Sathya Sai,Andhra Pradesh,1,12,Water & Sanitation,NITI Aayog Aspirational Districts Program
Srikakulam,Andhra Pradesh,1,13,Water & Sanitation,NITI Aayog Aspirational Districts Program
Tirupati,Andhra Pradesh,0,0,Rural Roads & Connectivity,NITI Aayog Aspirational Districts Program
Visakhapatnam,Andhra Pradesh,0,0,Rural Roads & Connectivity,NITI Aayog Aspirational Districts Program
Vizianagaram,Andhra Pradesh,1,14,Water & Sanitation,NITI Aayog Aspirational Districts Program
West Godavari,Andhra Pradesh,0,0,Rural Roads & Connectivity,NITI Aayog Aspirational Districts Program
