district,state,population,rural_population,urban_population,literacy_rate,source_publisher
Ariyalur,Tamil Nadu,754154,542991,211163,78.0,"Office of the Registrar General & Census Commissioner, India"
Chengalpattu,Tamil Nadu,2556244,1840496,715748,83.0,"Office of the Registrar General & Census Commissioner, India"
Chennai,Tamil Nadu,4646732,1626357,3020375,85.5,"Office of the Registrar General & Census Commissioner, India"
Coimbatore,Tamil Nadu,3458045,1210316,2247729,84.0,"Office of the Registrar General & Census Commissioner, India"
Cuddalore,Tamil Nadu,2605914,1876259,729655,79.0,"Office of the Registrar General & Census Commissioner, India"
Dharmapuri,Tamil Nadu,1506843,1084927,421916,75.5,"Office of the Registrar General & Census Commissioner, India"
Dindigul,Tamil Nadu,2159775,1555038,604737,79.5,"Office of the Registrar General & Census Commissioner, India"
Erode,Tamil Nadu,2251744,1621256,630488,82.5,"Office of the Registrar General & Census Commissioner, India"
Kallakurichi,Tamil Nadu,1370252,986582,383670,76.5,"Office of the Registrar General & Census Commissioner, India"
Kanchipuram,Tamil Nadu,1166401,839809,326592,83.5,"Office of the Registrar General & Census Commissioner, India"
Kanyakumari,Tamil Nadu,1870374,1346670,523704,84.8,"Office of the Registrar General & Census Commissioner, India"
Karur,Tamil Nadu,1064493,766435,298058,80.5,"Office of the Registrar General & Census Commissioner, India"
Krishnagiri,Tamil Nadu,1879809,1353463,526346,77.5,"Office of the Registrar General & Census Commissioner, India"
Madurai,Tamil Nadu,3038252,2187542,850710,82.0,"Office of the Registrar General & Census Commissioner, India"
Mayiladuthurai,Tamil Nadu,918356,661217,257139,78.8,"Office of the Registrar General & Census Commissioner, India"
Nagapattinam,Tamil Nadu,697061,501884,195177,78.2,"Office of the Registrar General & Census Commissioner, India"
Namakkal,Tamil Nadu,1726601,1243153,483448,81.5,"Office of the Registrar General & Census Commissioner, India"
Nilgiris,Tamil Nadu,735394,529484,205910,82.2,"Office of the Registrar General & Census Commissioner, India"
Perambalur,Tamil Nadu,565223,406961,158262,77.2,"Office of the Registrar General & Census Commissioner, India"
Pudukkottai,Tamil Nadu,1618345,1165209,453136,77.8,"Office of the Registrar General & Census Commissioner, India"
Ramanathapuram,Tamil Nadu,1353445,974481,378964,77.0,"Office of the Registrar General & Census Commissioner, India"
Ranipet,Tamil Nadu,1210277,871400,338877,80.8,"Office of the Registrar General & Census Commissioner, India"
Salem,Tamil Nadu,3482056,2507081,974975,81.2,"Office of the Registrar General & Census Commissioner, India"
Sivaganga,Tamil Nadu,1339101,964153,374948,79.2,"Office of the Registrar General & Census Commissioner, India"
Tenkasi,Tamil Nadu,1407627,1013492,394135,80.2,"Office of the Registrar General & Census Commissioner, India"
Thanjavur,Tamil Nadu,2405890,1732241,673649,80.0,"Office of the Registrar General & Census Commissioner, India"
Theni,Tamil Nadu,1245899,897048,348851,81.0,"Office of the Registrar General & Census Commissioner, India"
Thoothukudi,Tamil Nadu,1750176,1260127,490049,81.8,"Office of the Registrar General & Census Commissioner, India"
Tiruchirappalli,Tamil Nadu,2722290,1960049,762241,82.8,"Office of the Registrar General & Census Commissioner, India"
Tirunelveli,Tamil Nadu,1665253,1198983,466270,81.5,"Office of the Registrar General & Census Commissioner, India"
Tirupathur,Tamil Nadu,1111812,800505,311307,78.5,"Office of the Registrar General & Census Commissioner, India"
Tiruppur,Tamil Nadu,2479052,1784918,694134,83.2,"Office of the Registrar General & Census Commissioner, India"
Tiruvallur,Tamil Nadu,3728104,2684235,1043869,82.5,"Office of the Registrar General & Census Commissioner, India"
Tiruvannamalai,Tamil Nadu,2464875,1774710,690165,76.8,"Office of the Registrar General & Census Commissioner, India"
Tiruvarur,Tamil Nadu,1264277,910280,353997,79.0,"Office of the Registrar General & Census Commissioner, India"
Vellore,Tamil Nadu,1614242,1162255,451987,80.5,"Office of the Registrar General & Census Commissioner, India"
Viluppuram,Tamil Nadu,2092703,1506747,585956,76.2,"Office of the Registrar General & Census Commissioner, India"
Virudhunagar,Tamil Nadu,1942288,1398448,543840,81.0,"Office of the Registrar General & Census Commissioner, India"
Alluri Sitharama Raju,Andhra Pradesh,953960,686852,267108,72.2,"Office of the Registrar General & Census Commissioner, India"
Anakapalli,Andhra Pradesh,1726998,1243439,483559,79.0,"Office of the Registrar General & Census Commissioner, India"
Ananthapuramu,Andhra Pradesh,2241105,1613596,627509,77.2,"Office of the Registrar General & Census Commissioner, India"
Annamayya,Andhra Pradesh,1697308,1222062,475246,77.5,"Office of the Registrar General & Census Commissioner, India"
Bapatla,Andhra Pradesh,1586918,1142581,444337,79.5,"Office of the Registrar General & Census Commissioner, India"
Chittoor,Andhra Pradesh,1872951,1348525,524426,79.8,"Office of the Registrar General & Census Commissioner, India"
Dr. B.R. Ambedkar Konaseema,Andhra Pradesh,1719093,1237747,481346,80.2,"Office of the Registrar General & Census Commissioner, India"
East Godavari,Andhra Pradesh,1832332,1319280,513052,80.8,"Office of the Registrar General & Census Commissioner, India"
Eluru,Andhra Pradesh,2071700,1491624,580076,79.2,"Office of the Registrar General & Census Commissioner, India"
Guntur,Andhra Pradesh,2091075,1505574,585501,81.5,"Office of the Registrar General & Census Commissioner, India"
Kakinada,Andhra Pradesh,2092374,1506510,585864,81.0,"Office of the Registrar General & Census Commissioner, India"
Kurnool,Andhra Pradesh,2271686,1635614,636072,77.0,"Office of the Registrar General & Census Commissioner, India"
Nandyal,Andhra Pradesh,1781777,1282880,498897,78.0,"Office of the Registrar General & Census Commissioner, India"
NTR,Andhra Pradesh,2218591,1597386,621205,83.0,"Office of the Registrar General & Census Commissioner, India"
Palnadu,Andhra Pradesh,2041723,1470041,571682,78.5,"Office of the Registrar General & Census Commissioner, India"
Parvathipuram Manyam,Andhra Pradesh,925340,666245,259095,74.0,"Office of the Registrar General & Census Commissioner, India"
Prakasam,Andhra Pradesh,2288026,1647379,640647,77.8,"Office of the Registrar General & Census Commissioner, India"
Sri Potti Sriramulu Nellore,Andhra Pradesh,2469712,1778193,691519,80.0,"Office of the Registrar General & Census Commissioner, India"
Sri Sathya Sai,Andhra Pradesh,1840043,1324831,515212,76.8,"Office of the Registrar General & Census Commissioner, India"
Srikakulam,Andhra Pradesh,2191471,1577860,613611,76.5,"Office of the Registrar General & Census Commissioner, India"
Tirupati,Andhra Pradesh,2196984,1581829,615155,81.2,"Office of the Registrar General & Census Commissioner, India"
Visakhapatnam,Andhra Pradesh,1959544,685841,1273703,83.5,"Office of the Registrar General & Census Commissioner, India"
Vizianagaram,Andhra Pradesh,1930840,1390205,540635,77.0,"Office of the Registrar General & Census Commissioner, India"
West Godavari,Andhra Pradesh,1779935,1281554,498381,80.5,"Office of the Registrar General & Census Commissioner, India"
YSR Kadapa,Andhra Pradesh,2060654,1483671,576983,78.8,"Office of the Registrar General & Census Commissioner, India"
Adilabad,Telangana,708972,510460,198512,75.0,"Office of the Registrar General & Census Commissioner, India"
Bhadradri Kothagudem,Telangana,1069261,769868,299393,76.0,"Office of the Registrar General & Census Commissioner, India"
Hanamkonda,Telangana,1083946,780442,303504,81.8,"Office of the Registrar General & Census Commissioner, India"
Hyderabad,Telangana,3943323,1380164,2563159,85.0,"Office of the Registrar General & Census Commissioner, India"
Jagtial,Telangana,985417,709501,275916,79.0,"Office of the Registrar General & Census Commissioner, India"
Jangaon,Telangana,566376,407791,158585,78.0,"Office of the Registrar General & Census Commissioner, India"
Jayashankar Bhupalpally,Telangana,412282,296844,115438,74.8,"Office of the Registrar General & Census Commissioner, India"
Jogulamba Gadwal,Telangana,609990,439193,170797,76.5,"Office of the Registrar General & Census Commissioner, India"
Kamareddy,Telangana,972625,700290,272335,77.8,"Office of the Registrar General & Census Commissioner, India"
Karimnagar,Telangana,1005711,724112,281599,81.2,"Office of the Registrar General & Census Commissioner, India"
Khammam,Telangana,1401639,1009181,392458,79.8,"Office of the Registrar General & Census Commissioner, India"
Kumuram Bheem Asifabad,Telangana,515812,371385,144427,73.8,"Office of the Registrar General & Census Commissioner, India"
Mahabubabad,Telangana,774549,557676,216873,76.8,"Office of the Registrar General & Census Commissioner, India"
Mahabubnagar,Telangana,1486777,1070480,416297,77.5,"Office of the Registrar General & Census Commissioner, India"
Mancherial,Telangana,807037,581067,225970,78.2,"Office of the Registrar General & Census Commissioner, India"
Medak,Telangana,767428,552549,214879,78.0,"Office of the Registrar General & Census Commissioner, India"
Medchal-Malkajgiri,Telangana,2440073,1756853,683220,84.0,"Office of the Registrar General & Census Commissioner, India"
Mulugu,Telangana,294971,212380,82591,73.2,"Office of the Registrar General & Census Commissioner, India"
Nagarkurnool,Telangana,861766,620472,241294,76.2,"Office of the Registrar General & Census Commissioner, India"
Nalgonda,Telangana,1618416,1165260,453156,79.2,"Office of the Registrar General & Census Commissioner, India"
Narayanpet,Telangana,566874,408150,158724,75.8,"Office of the Registrar General & Census Commissioner, India"
Nirmal,Telangana,709415,510779,198636,77.0,"Office of the Registrar General & Census Commissioner, India"
Nizamabad,Telangana,1571022,1131136,439886,80.2,"Office of the Registrar General & Census Commissioner, India"
Peddapalli,Telangana,795332,572640,222692,79.5,"Office of the Registrar General & Census Commissioner, India"
