district,state,stunting_rate,anemia_rate,full_immunization_pct,clean_cooking_fuel_pct,source_publisher
Ariyalur,Tamil Nadu,32.7,47.6,83.6,61.2,"Ministry of Health and Family Welfare (MoHFW), NFHS-5"
Chengalpattu,Tamil Nadu,25.7,41.6,87.6,76.5,"Ministry of Health and Family Welfare (MoHFW), NFHS-5"
Chennai,Tamil Nadu,22.2,38.6,89.6,81.9,"Ministry of Health and Family Welfare (MoHFW), NFHS-5"
Coimbatore,Tamil Nadu,24.3,40.4,88.4,80.1,"Ministry of Health and Family Welfare (MoHFW), NFHS-5"
Cuddalore,Tamil Nadu,31.3,46.4,84.4,64.8,"Ministry of Health and Family Welfare (MoHFW), NFHS-5"
Dharmapuri,Tamil Nadu,36.2,50.6,81.6,54.0,"Ministry of Health and Family Welfare (MoHFW), NFHS-5"
Dindigul,Tamil Nadu,30.6,45.8,84.8,66.6,"Ministry of Health and Family Welfare (MoHFW), NFHS-5"
Erode,Tamil Nadu,26.4,42.2,87.2,75.6,"Ministry of Health and Family Welfare (MoHFW), NFHS-5"
Kallakurichi,Tamil Nadu,34.8,49.4,82.4,56.7,"Ministry of Health and Family Welfare (MoHFW), NFHS-5"
Kanchipuram,Tamil Nadu,25.0,41.0,88.0,77.4,"Ministry of Health and Family Welfare (MoHFW), NFHS-5"
Kanyakumari,Tamil Nadu,23.2,39.5,89.0,81.0,"Ministry of Health and Family Welfare (MoHFW), NFHS-5"
Karur,Tamil Nadu,29.2,44.6,85.6,70.2,"Ministry of Health and Family Welfare (MoHFW), NFHS-5"
Krishnagiri,Tamil Nadu,33.4,48.2,83.2,59.4,"Ministry of Health and Family Welfare (MoHFW), NFHS-5"
Madurai,Tamil Nadu,27.1,42.8,86.8,73.8,"Ministry of Health and Family Welfare (MoHFW), NFHS-5"
Mayiladuthurai,Tamil Nadu,31.6,46.7,84.2,63.0,"Ministry of Health and Family Welfare (MoHFW), NFHS-5"
Nagapattinam,Tamil Nadu,32.4,47.3,83.8,62.1,"Ministry of Health and Family Welfare (MoHFW), NFHS-5"
Namakkal,Tamil Nadu,27.8,43.4,86.4,72.0,"Ministry of Health and Family Welfare (MoHFW), NFHS-5"
Nilgiris,Tamil Nadu,26.8,42.5,87.0,74.7,"Ministry of Health and Family Welfare (MoHFW), NFHS-5"
Perambalur,Tamil Nadu,33.8,48.5,83.0,58.5,"Ministry of Health and Family Welfare (MoHFW), NFHS-5"
Pudukkottai,Tamil Nadu,33.0,47.9,83.4,60.3,"Ministry of Health and Family Welfare (MoHFW), NFHS-5"
Ramanathapuram,Tamil Nadu,34.1,48.8,82.8,55.8,"Ministry of Health and Family Welfare (MoHFW), NFHS-5"
