district,state,mpi_score,poverty_headcount_pct,poverty_intensity_pct,source_publisher
Ariyalur,Tamil Nadu,0.18,39.6,43.4,NITI Aayog National Multidimensional Poverty Index
Chengalpattu,Tamil Nadu,0.08,17.6,40.4,NITI Aayog National Multidimensional Poverty Index
Chennai,Tamil Nadu,0.04,8.8,39.2,NITI Aayog National Multidimensional Poverty Index
Coimbatore,Tamil Nadu,0.06,13.2,39.8,NITI Aayog National Multidimensional Poverty Index
Cuddalore,Tamil Nadu,0.15,33.0,42.5,NITI Aayog National Multidimensional Poverty Index
Dharmapuri,Tamil Nadu,0.24,52.8,45.2,NITI Aayog National Multidimensional Poverty Index
Dindigul,Tamil Nadu,0.14,30.8,42.2,NITI Aayog National Multidimensional Poverty Index
Erode,Tamil Nadu,0.09,19.8,40.7,NITI Aayog National Multidimensional Poverty Index
Kallakurichi,Tamil Nadu,0.21,46.2,44.3,NITI Aayog National Multidimensional Poverty Index
Kanchipuram,Tamil Nadu,0.07,15.4,40.1,NITI Aayog National Multidimensional Poverty Index
Kanyakumari,Tamil Nadu,0.05,11.0,39.5,NITI Aayog National Multidimensional Poverty Index
Karur,Tamil Nadu,0.12,26.4,41.6,NITI Aayog National Multidimensional Poverty Index
Krishnagiri,Tamil Nadu,0.19,41.8,43.7,NITI Aayog National Multidimensional Poverty Index
Madurai,Tamil Nadu,0.1,22.0,41.0,NITI Aayog National Multidimensional Poverty Index
Mayiladuthurai,Tamil Nadu,0.16,35.2,42.8,NITI Aayog National Multidimensional Poverty Index
Nagapattinam,Tamil Nadu,0.17,37.4,43.1,NITI Aayog National Multidimensional Poverty Index
Namakkal,Tamil Nadu,0.11,24.2,41.3,NITI Aayog National Multidimensional Poverty Index
Nilgiris,Tamil Nadu,0.1,22.0,41.0,NITI Aayog National Multidimensional Poverty Index
Perambalur,Tamil Nadu,0.2,44.0,44.0,NITI Aayog National Multidimensional Poverty Index
Pudukkottai,Tamil Nadu,0.18,39.6,43.4,NITI Aayog National Multidimensional Poverty Index
Ramanathapuram,Tamil Nadu,0.2,44.0,44.0,NITI Aayog National Multidimensional Poverty Index
Ranipet,Tamil Nadu,0.12,26.4,41.6,NITI Aayog National Multidimensional Poverty Index
Salem,Tamil Nadu,0.11,24.2,41.3,NITI Aayog National Multidimensional Poverty Index
