district,state,road_coverage,logistics_park_access,grid_power_coverage,source_publisher
Ariyalur,Tamil Nadu,72.5,0,96.0,PM Gati Shakti National Master Plan Platform
Chengalpattu,Tamil Nadu,88.0,1,99.0,PM Gati Shakti National Master Plan Platform
Chennai,Tamil Nadu,94.0,1,99.5,PM Gati Shakti National Master Plan Platform
Coimbatore,Tamil Nadu,91.5,1,99.2,PM Gati Shakti National Master Plan Platform
Cuddalore,Tamil Nadu,76.0,0,97.0,PM Gati Shakti National Master Plan Platform
Dharmapuri,Tamil Nadu,65.0,0,94.0,PM Gati Shakti National Master Plan Platform
Dindigul,Tamil Nadu,78.0,0,97.5,PM Gati Shakti National Master Plan Platform
Erode,Tamil Nadu,87.0,1,98.8,PM Gati Shakti National Master Plan Platform
Kallakurichi,Tamil Nadu,68.0,0,95.0,PM Gati Shakti National Master Plan Platform
Kanchipuram,Tamil Nadu,89.0,1,99.0,PM Gati Shakti National Master Plan Platform
Kanyakumari,Tamil Nadu,92.0,1,99.4,PM Gati Shakti National Master Plan Platform
Karur,Tamil Nadu,82.0,0,98.0,PM Gati Shakti National Master Plan Platform
Krishnagiri,Tamil Nadu,71.0,0,95.5,PM Gati Shakti National Master Plan Platform
Madurai,Tamil Nadu,86.0,1,98.5,PM Gati Shakti National Master Plan Platform
Mayiladuthurai,Tamil Nadu,75.0,0,96.5,PM Gati Shakti National Master Plan Platform
Nagapattinam,Tamil Nadu,73.0,0,96.0,PM Gati Shakti National Master Plan Platform
Namakkal,Tamil Nadu,84.0,1,98.2,PM Gati Shakti National Master Plan Platform
Nilgiris,Tamil Nadu,85.0,1,98.0,PM Gati Shakti National Master Plan Platform
Perambalur,Tamil Nadu,70.0,0,95.0,PM Gati Shakti National Master Plan Platform
Pudukkottai,Tamil Nadu,72.0,0,96.0,PM Gati Shakti National Master Plan Platform
Ramanathapuram,Tamil Nadu,69.0,0,95.5,PM Gati Shakti National Master Plan Platform
Ranipet,Tamil Nadu,83.0,1,98.0,PM Gati Shakti National Master Plan Platform
Salem,Tamil Nadu,85.0,1,98.4,PM Gati Shakti National Master Plan Platform
Sivaganga,Tamil Nadu,77.0,0,97.0,PM Gati Shakti National Master Plan Platform
Tenkasi,Tamil Nadu,81.0,0,97.8,PM Gati Shakti National Master Plan Platform
Thanjavur,Tamil Nadu,80.0,0,97.5,PM Gati Shakti National Master Plan Platform
Theni,Tamil Nadu,83.0,1,98.0,PM Gati Shakti National Master Plan Platform
Thoothukudi,Tamil Nadu,86.0,1,98.6,PM Gati Shakti National Master Plan Platform
Tiruchirappalli,Tamil Nadu,88.0,1,99.0,PM Gati Shakti National Master Plan Platform
Tirunelveli,Tamil Nadu,85.0,1,98.5,PM Gati Shakti National Master Plan Platform
Tirupathur,Tamil Nadu,74.0,0,96.5,PM Gati Shakti National Master Plan Platform
Tiruppur,Tamil Nadu,90.0,1,99.1,PM Gati Shakti National Master Plan Platform
Tiruvallur,Tamil Nadu,87.0,1,98.8,PM Gati Shakti National Master Plan Platform
Tiruvannamalai,Tamil Nadu,69.0,0,95.0,PM Gati Shakti National Master Plan Platform
Tiruvarur,Tamil Nadu,76.0,0,97.0,PM Gati Shakti National Master Plan Platform
Vellore,Tamil Nadu,82.0,0,98.0,PM Gati Shakti National Master Plan Platform
Viluppuram,Tamil Nadu,67.0,0,94.5,PM Gati Shakti National Master Plan Platform
Virudhunagar,Tamil Nadu,84.0,1,98.2,PM Gati Shakti National Master Plan Platform
Alluri Sitharama Raju,Andhra Pradesh,52.0,0,88.0,PM Gati Shakti National Master Plan Platform
Anakapalli,Andhra Pradesh,76.0,0,97.0,PM Gati Shakti National Master Plan Platform
Ananthapuramu,Andhra Pradesh,70.0,0,95.0,PM Gati Shakti National Master Plan Platform
Annamayya,Andhra Pradesh,71.0,0,95.5,PM Gati Shakti National Master Plan Platform
Bapatla,Andhra Pradesh,78.0,0,97.2,PM Gati Shakti National Master Plan Platform
Chittoor,Andhra Pradesh,79.0,0,97.5,PM Gati Shakti National Master Plan Platform
