district,state,sdg_index_score,clean_water_sdg6,good_health_sdg3,decent_work_sdg8,source_publisher
Ariyalur,Tamil Nadu,69.4,68.0,74.5,69.6,NITI Aayog SDG India Index Taskforce
Chengalpattu,Tamil Nadu,75.4,85.0,79.5,73.6,NITI Aayog SDG India Index Taskforce
Chennai,Tamil Nadu,78.4,91.0,82.0,75.6,NITI Aayog SDG India Index Taskforce
Coimbatore,Tamil Nadu,76.6,89.0,80.5,74.4,NITI Aayog SDG India Index Taskforce
Cuddalore,Tamil Nadu,70.6,72.0,75.5,70.4,NITI Aayog SDG India Index Taskforce
Dharmapuri,Tamil Nadu,66.4,60.0,72.0,67.6,NITI Aayog SDG India Index Taskforce
Dindigul,Tamil Nadu,71.2,74.0,76.0,70.8,NITI Aayog SDG India Index Taskforce
Erode,Tamil Nadu,74.8,84.0,79.0,73.2,NITI Aayog SDG India Index Taskforce
Kallakurichi,Tamil Nadu,67.6,63.0,73.0,68.4,NITI Aayog SDG India Index Taskforce
Kanchipuram,Tamil Nadu,76.0,86.0,80.0,74.0,NITI Aayog SDG India Index Taskforce
Kanyakumari,Tamil Nadu,77.5,90.0,81.2,75.0,NITI Aayog SDG India Index Taskforce
Karur,Tamil Nadu,72.4,78.0,77.0,71.6,NITI Aayog SDG India Index Taskforce
Krishnagiri,Tamil Nadu,68.8,66.0,74.0,69.2,NITI Aayog SDG India Index Taskforce
Madurai,Tamil Nadu,74.2,82.0,78.5,72.8,NITI Aayog SDG India Index Taskforce
Mayiladuthurai,Tamil Nadu,70.3,70.0,75.2,70.2,NITI Aayog SDG India Index Taskforce
Nagapattinam,Tamil Nadu,69.7,69.0,74.8,69.8,NITI Aayog SDG India Index Taskforce
Namakkal,Tamil Nadu,73.6,80.0,78.0,72.4,NITI Aayog SDG India Index Taskforce
Nilgiris,Tamil Nadu,74.5,83.0,78.8,73.0,NITI Aayog SDG India Index Taskforce
Perambalur,Tamil Nadu,68.5,65.0,73.8,69.0,NITI Aayog SDG India Index Taskforce
Pudukkottai,Tamil Nadu,69.1,67.0,74.2,69.4,NITI Aayog SDG India Index Taskforce
Ramanathapuram,Tamil Nadu,68.2,62.0,73.5,68.8,NITI Aayog SDG India Index Taskforce
Ranipet,Tamil Nadu,72.7,79.0,77.2,71.8,NITI Aayog SDG India Index Taskforce
Salem,Tamil Nadu,73.3,81.0,77.8,72.2,NITI Aayog SDG India Index Taskforce
Sivaganga,Tamil Nadu,70.9,73.0,75.8,70.6,NITI Aayog SDG India Index Taskforce
Tenkasi,Tamil Nadu,72.1,77.0,76.8,71.4,NITI Aayog SDG India Index Taskforce
Thanjavur,Tamil Nadu,71.8,76.0,76.5,71.2,NITI Aayog SDG India Index Taskforce
Theni,Tamil Nadu,73.0,80.0,77.5,72.0,NITI Aayog SDG India Index Taskforce
Thoothukudi,Tamil Nadu,73.9,83.0,78.2,72.6,NITI Aayog SDG India Index Taskforce
Tiruchirappalli,Tamil Nadu,75.1,85.0,79.2,73.4,NITI Aayog SDG India Index Taskforce
Tirunelveli,Tamil Nadu,73.6,81.0,78.0,72.4,NITI Aayog SDG India Index Taskforce
Tirupathur,Tamil Nadu,70.0,70.0,75.0,70.0,NITI Aayog SDG India Index Taskforce
Tiruppur,Tamil Nadu,75.7,87.0,79.8,73.8,NITI Aayog SDG India Index Taskforce
Tiruvallur,Tamil Nadu,74.8,84.0,79.0,73.2,NITI Aayog SDG India Index Taskforce
Tiruvannamalai,Tamil Nadu,67.9,64.0,73.2,68.6,NITI Aayog SDG India Index Taskforce
Tiruvarur,Tamil Nadu,70.6,71.0,75.5,70.4,NITI Aayog SDG India Index Taskforce
Vellore,Tamil Nadu,72.4,78.0,77.0,71.6,NITI Aayog SDG India Index Taskforce
Viluppuram,Tamil Nadu,67.3,62.0,72.8,68.2,NITI Aayog SDG India Index Taskforce
Virudhunagar,Tamil Nadu,73.0,80.0,77.5,72.0,NITI Aayog SDG India Index Taskforce
Alluri Sitharama Raju,Andhra Pradesh,62.5,48.0,68.8,65.0,NITI Aayog SDG India Index Taskforce
Anakapalli,Andhra Pradesh,70.6,72.0,75.5,70.4,NITI Aayog SDG India Index Taskforce
Ananthapuramu,Andhra Pradesh,68.5,62.0,73.8,69.0,NITI Aayog SDG India Index Taskforce
Annamayya,Andhra Pradesh,68.8,65.0,74.0,69.2,NITI Aayog SDG India Index Taskforce
Bapatla,Andhra Pradesh,71.2,74.0,76.0,70.8,NITI Aayog SDG India Index Taskforce
Chittoor,Andhra Pradesh,71.5,75.0,76.2,71.0,NITI Aayog SDG India Index Taskforce
Dr. B.R. Ambedkar Konaseema,Andhra Pradesh,72.1,78.0,76.8,71.4,NITI Aayog SDG India Index Taskforce
East Godavari,Andhra Pradesh,72.7,80.0,77.2,71.8,NITI Aayog SDG India Index Taskforce
Eluru,Andhra Pradesh,70.9,73.0,75.8,70.6,NITI Aayog SDG India Index Taskforce
Guntur,Andhra Pradesh,73.6,82.0,78.0,72.4,NITI Aayog SDG India Index Taskforce
Kakinada,Andhra Pradesh,73.0,81.0,77.5,72.0,NITI Aayog SDG India Index Taskforce
Kurnool,Andhra Pradesh,68.2,63.0,73.5,68.8,NITI Aayog SDG India Index Taskforce
Nandyal,Andhra Pradesh,69.4,68.0,74.5,69.6,NITI Aayog SDG India Index Taskforce
NTR,Andhra Pradesh,75.4,87.0,79.5,73.6,NITI Aayog SDG India Index Taskforce
Palnadu,Andhra Pradesh,70.0,70.0,75.0,70.0,NITI Aayog SDG India Index Taskforce
Parvathipuram Manyam,Andhra Pradesh,64.6,54.0,70.5,66.4,NITI Aayog SDG India Index Taskforce
Prakasam,Andhra Pradesh,69.1,66.0,74.2,69.4,NITI Aayog SDG India Index Taskforce
Sri Potti Sriramulu Nellore,Andhra Pradesh,71.8,76.0,76.5,71.2,NITI Aayog SDG India Index Taskforce
Sri Sathya Sai,Andhra Pradesh,67.9,61.0,73.2,68.6,NITI Aayog SDG India Index Taskforce
Srikakulam,Andhra Pradesh,67.6,63.0,73.0,68.4,NITI Aayog SDG India Index Taskforce
Tirupati,Andhra Pradesh,73.3,83.0,77.8,72.2,NITI Aayog SDG India Index Taskforce
Visakhapatnam,Andhra Pradesh,76.0,88.0,80.0,74.0,NITI Aayog SDG India Index Taskforce
Vizianagaram,Andhra Pradesh,68.2,64.0,73.5,68.8,NITI Aayog SDG India Index Taskforce
West Godavari,Andhra Pradesh,72.4,79.0,77.0,71.6,NITI Aayog SDG India Index Taskforce
YSR Kadapa,Andhra Pradesh,70.3,71.0,75.2,70.2,NITI Aayog SDG India Index Taskforce
Adilabad,Telangana,65.8,58.0,71.5,67.2,NITI Aayog SDG India Index Taskforce
Bhadradri Kothagudem,Telangana,67.0,61.0,72.5,68.0,NITI Aayog SDG India Index Taskforce
Hanamkonda,Telangana,73.9,83.0,78.2,72.6,NITI Aayog SDG India Index Taskforce
Hyderabad,Telangana,77.8,90.0,81.5,75.2,NITI Aayog SDG India Index Taskforce
Jagtial,Telangana,70.6,72.0,75.5,70.4,NITI Aayog SDG India Index Taskforce
Jangaon,Telangana,69.4,68.0,74.5,69.6,NITI Aayog SDG India Index Taskforce
Jayashankar Bhupalpally,Telangana,65.5,56.0,71.2,67.0,NITI Aayog SDG India Index Taskforce
Jogulamba Gadwal,Telangana,67.6,63.0,73.0,68.4,NITI Aayog SDG India Index Taskforce
Kamareddy,Telangana,69.1,67.0,74.2,69.4,NITI Aayog SDG India Index Taskforce
Karimnagar,Telangana,73.3,81.0,77.8,72.2,NITI Aayog SDG India Index Taskforce
Khammam,Telangana,71.5,75.0,76.2,71.0,NITI Aayog SDG India Index Taskforce
Kumuram Bheem Asifabad,Telangana,64.3,52.0,70.2,66.2,NITI Aayog SDG India Index Taskforce
Mahabubabad,Telangana,67.9,64.0,73.2,68.6,NITI Aayog SDG India Index Taskforce
Mahabubnagar,Telangana,68.8,66.0,74.0,69.2,NITI Aayog SDG India Index Taskforce
Mancherial,Telangana,69.7,70.0,74.8,69.8,NITI Aayog SDG India Index Taskforce
Medak,Telangana,69.4,69.0,74.5,69.6,NITI Aayog SDG India Index Taskforce
Medchal-Malkajgiri,Telangana,76.6,88.0,80.5,74.4,NITI Aayog SDG India Index Taskforce
Mulugu,Telangana,63.7,50.0,69.8,65.8,NITI Aayog SDG India Index Taskforce
Nagarkurnool,Telangana,67.3,62.0,72.8,68.2,NITI Aayog SDG India Index Taskforce
Nalgonda,Telangana,70.9,73.0,75.8,70.6,NITI Aayog SDG India Index Taskforce
Narayanpet,Telangana,66.7,59.0,72.2,67.8,NITI Aayog SDG India Index Taskforce
Nirmal,Telangana,68.2,65.0,73.5,68.8,NITI Aayog SDG India Index Taskforce
Nizamabad,Telangana,72.1,77.0,76.8,71.4,NITI Aayog SDG India Index Taskforce
Peddapalli,Telangana,71.2,74.0,76.0,70.8,NITI Aayog SDG India Index Taskforce
Rajanna Sircilla,Telangana,70.3,71.0,75.2,70.2,NITI Aayog SDG India Index Taskforce
Rangareddy,Telangana,76.3,88.0,80.2,74.2,NITI Aayog SDG India Index Taskforce
Sangareddy,Telangana,72.7,79.0,77.2,71.8,NITI Aayog SDG India Index Taskforce
Siddipet,Telangana,71.8,76.0,76.5,71.2,NITI Aayog SDG India Index Taskforce
Suryapet,Telangana,70.6,72.0,75.5,70.4,NITI Aayog SDG India Index Taskforce
Vikarabad,Telangana,68.5,65.0,73.8,69.0,NITI Aayog SDG India Index Taskforce
Wanaparthy,Telangana,68.8,66.0,74.0,69.2,NITI Aayog SDG India Index Taskforce
Warangal,Telangana,72.4,78.0,77.0,71.6,NITI Aayog SDG India Index Taskforce
Yadadri Bhuvanagiri,Telangana,71.5,75.0,76.2,71.0,NITI Aayog SDG India Index Taskforce
Krishna,Andhra Pradesh,72.7,80.0,77.2,71.8,NITI Aayog SDG India Index Taskforce
