district,state,deprivation_index,households_deprived,sc_st_households_pct,female_headed_households_pct,source_publisher
Ariyalur,Tamil Nadu,0.42,65988,41.4,20.6,"Ministry of Rural Development (MoRD), Govt of India"
Chengalpattu,Tamil Nadu,0.22,117161,27.4,14.6,"Ministry of Rural Development (MoRD), Govt of India"
Chennai,Tamil Nadu,0.12,116168,20.4,11.6,"Ministry of Rural Development (MoRD), Govt of India"
Coimbatore,Tamil Nadu,0.18,129676,24.6,13.4,"Ministry of Rural Development (MoRD), Govt of India"
Cuddalore,Tamil Nadu,0.38,206301,38.6,19.4,"Ministry of Rural Development (MoRD), Govt of India"
Dharmapuri,Tamil Nadu,0.52,163241,48.4,23.6,"Ministry of Rural Development (MoRD), Govt of India"
Dindigul,Tamil Nadu,0.36,161983,37.2,18.8,"Ministry of Rural Development (MoRD), Govt of India"
Erode,Tamil Nadu,0.24,112587,28.8,15.2,"Ministry of Rural Development (MoRD), Govt of India"
Kallakurichi,Tamil Nadu,0.48,137025,45.6,22.4,"Ministry of Rural Development (MoRD), Govt of India"
Kanchipuram,Tamil Nadu,0.2,48600,26.0,14.0,"Ministry of Rural Development (MoRD), Govt of India"
Kanyakumari,Tamil Nadu,0.15,58449,22.5,12.5,"Ministry of Rural Development (MoRD), Govt of India"
Karur,Tamil Nadu,0.32,70966,34.4,17.6,"Ministry of Rural Development (MoRD), Govt of India"
Krishnagiri,Tamil Nadu,0.44,172315,42.8,21.2,"Ministry of Rural Development (MoRD), Govt of India"
Madurai,Tamil Nadu,0.26,164571,30.2,15.8,"Ministry of Rural Development (MoRD), Govt of India"
Mayiladuthurai,Tamil Nadu,0.39,74616,39.3,19.7,"Ministry of Rural Development (MoRD), Govt of India"
Nagapattinam,Tamil Nadu,0.41,59540,40.7,20.3,"Ministry of Rural Development (MoRD), Govt of India"
Namakkal,Tamil Nadu,0.28,100718,31.6,16.4,"Ministry of Rural Development (MoRD), Govt of India"
Nilgiris,Tamil Nadu,0.25,38301,29.5,15.5,"Ministry of Rural Development (MoRD), Govt of India"
Perambalur,Tamil Nadu,0.45,52989,43.5,21.5,"Ministry of Rural Development (MoRD), Govt of India"
Pudukkottai,Tamil Nadu,0.43,144976,42.1,20.9,"Ministry of Rural Development (MoRD), Govt of India"
Ramanathapuram,Tamil Nadu,0.46,129704,44.2,21.8,"Ministry of Rural Development (MoRD), Govt of India"
Ranipet,Tamil Nadu,0.31,78163,33.7,17.3,"Ministry of Rural Development (MoRD), Govt of India"
Salem,Tamil Nadu,0.29,210374,32.3,16.7,"Ministry of Rural Development (MoRD), Govt of India"
Sivaganga,Tamil Nadu,0.37,103222,37.9,19.1,"Ministry of Rural Development (MoRD), Govt of India"
Tenkasi,Tamil Nadu,0.33,96774,35.1,17.9,"Ministry of Rural Development (MoRD), Govt of India"
