district,state,total_outlay_lakh,water_outlay_lakh,road_outlay_lakh,education_outlay_lakh,source_publisher
Ariyalur,Tamil Nadu,33936.93,11877.93,13574.77,8484.23,State Finance Department Annual Financial Statement
Chengalpattu,Tamil Nadu,115030.98,40260.84,46012.39,28757.74,State Finance Department Annual Financial Statement
Chennai,Tamil Nadu,209102.94,73186.03,83641.18,52275.74,State Finance Department Annual Financial Statement
Coimbatore,Tamil Nadu,155612.02,54464.21,62244.81,38903.0,State Finance Department Annual Financial Statement
Cuddalore,Tamil Nadu,117266.13,41043.15,46906.45,29316.53,State Finance Department Annual Financial Statement
Dharmapuri,Tamil Nadu,67807.93,23732.78,27123.17,16951.98,State Finance Department Annual Financial Statement
Dindigul,Tamil Nadu,97189.88,34016.46,38875.95,24297.47,State Finance Department Annual Financial Statement
Erode,Tamil Nadu,101328.48,35464.97,40531.39,25332.12,State Finance Department Annual Financial Statement
Kallakurichi,Tamil Nadu,61661.34,21581.47,24664.54,15415.33,State Finance Department Annual Financial Statement
Kanchipuram,Tamil Nadu,52488.04,18370.81,20995.22,13122.01,State Finance Department Annual Financial Statement
Kanyakumari,Tamil Nadu,84166.83,29458.39,33666.73,21041.71,State Finance Department Annual Financial Statement
Karur,Tamil Nadu,47902.18,16765.76,19160.87,11975.55,State Finance Department Annual Financial Statement
Krishnagiri,Tamil Nadu,84591.4,29606.99,33836.56,21147.85,State Finance Department Annual Financial Statement
Madurai,Tamil Nadu,136721.34,47852.47,54688.54,34180.33,State Finance Department Annual Financial Statement
Mayiladuthurai,Tamil Nadu,41326.02,14464.11,16530.41,10331.5,State Finance Department Annual Financial Statement
Nagapattinam,Tamil Nadu,31367.74,10978.71,12547.1,7841.94,State Finance Department Annual Financial Statement
Namakkal,Tamil Nadu,77697.04,27193.96,31078.82,19424.26,State Finance Department Annual Financial Statement
Nilgiris,Tamil Nadu,33092.73,11582.46,13237.09,8273.18,State Finance Department Annual Financial Statement
Perambalur,Tamil Nadu,25435.03,8902.26,10174.01,6358.76,State Finance Department Annual Financial Statement
Pudukkottai,Tamil Nadu,72825.52,25488.93,29130.21,18206.38,State Finance Department Annual Financial Statement
Ramanathapuram,Tamil Nadu,60905.02,21316.76,24362.01,15226.25,State Finance Department Annual Financial Statement
Ranipet,Tamil Nadu,54462.46,19061.86,21784.98,13615.61,State Finance Department Annual Financial Statement
Salem,Tamil Nadu,156692.52,54842.38,62677.01,39173.13,State Finance Department Annual Financial Statement
Sivaganga,Tamil Nadu,60259.54,21090.84,24103.82,15064.89,State Finance Department Annual Financial Statement
Tenkasi,Tamil Nadu,63343.21,22170.12,25337.28,15835.8,State Finance Department Annual Financial Statement
Thanjavur,Tamil Nadu,108265.05,37892.77,43306.02,27066.26,State Finance Department Annual Financial Statement
Theni,Tamil Nadu,56065.45,19622.91,22426.18,14016.36,State Finance Department Annual Financial Statement
Thoothukudi,Tamil Nadu,78757.92,27565.27,31503.17,19689.48,State Finance Department Annual Financial Statement
Tiruchirappalli,Tamil Nadu,122503.05,42876.07,49001.22,30625.76,State Finance Department Annual Financial Statement
Tirunelveli,Tamil Nadu,74936.38,26227.73,29974.55,18734.1,State Finance Department Annual Financial Statement
Tirupathur,Tamil Nadu,50031.54,17511.04,20012.62,12507.89,State Finance Department Annual Financial Statement
Tiruppur,Tamil Nadu,111557.34,39045.07,44622.94,27889.33,State Finance Department Annual Financial Statement
Tiruvallur,Tamil Nadu,167764.68,58717.64,67105.87,41941.17,State Finance Department Annual Financial Statement
Tiruvannamalai,Tamil Nadu,110919.38,38821.78,44367.75,27729.85,State Finance Department Annual Financial Statement
Tiruvarur,Tamil Nadu,56892.46,19912.36,22756.98,14223.11,State Finance Department Annual Financial Statement
Vellore,Tamil Nadu,72640.89,25424.31,29056.36,18160.22,State Finance Department Annual Financial Statement
Viluppuram,Tamil Nadu,94171.63,32960.07,37668.65,23542.91,State Finance Department Annual Financial Statement
Virudhunagar,Tamil Nadu,87402.96,30591.04,34961.18,21850.74,State Finance Department Annual Financial Statement
Alluri Sitharama Raju,Andhra Pradesh,42928.2,15024.87,17171.28,10732.05,State Finance Department Annual Financial Statement
Anakapalli,Andhra Pradesh,77714.91,27200.22,31085.96,19428.73,State Finance Department Annual Financial Statement
Ananthapuramu,Andhra Pradesh,100849.72,35297.4,40339.89,25212.43,State Finance Department Annual Financial Statement
Annamayya,Andhra Pradesh,76378.86,26732.6,30551.54,19094.72,State Finance Department Annual Financial Statement
Bapatla,Andhra Pradesh,71411.31,24993.96,28564.52,17852.83,State Finance Department Annual Financial Statement
Chittoor,Andhra Pradesh,84282.79,29498.98,33713.12,21070.7,State Finance Department Annual Financial Statement
Dr. B.R. Ambedkar Konaseema,Andhra Pradesh,77359.18,27075.71,30943.67,19339.79,State Finance Department Annual Financial Statement
